,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
 ,Tyler Naquin,7,105,310,47,71,19,4,11,46,19,93,4,2,.229
 ,Michael Chavis,4,129,401,39,92,16,3,14,49,19,126,1,1,.229
 ,Matt Chapman,6,155,538,83,123,27,1,27,76,68,170,2,2,.229
 ,Frank Schwindel,3,75,271,23,62,11,0,8,36,19,58,0,0,.229
 ,P.J. Higgins,2,74,201,23,46,11,1,6,30,22,58,0,0,.229
241,Kevin Kiermaier,10,63,206,28,47,8,0,7,22,14,61,6,1,.228
 ,Elias Diaz,8,105,351,29,80,18,2,9,51,25,82,0,1,.228
 ,Tyler O'Neill,5,96,334,56,76,11,1,14,58,38,103,14,4,.228
 ,Lars Nootbaar,2,108,290,53,66,16,3,14,40,51,71,4,1,.228
245,Kyle Higashioka,6,83,229,27,52,7,0,10,31,12,52,0,1,.227
 ,Max Kepler,8,115,388,54,88,18,1,9,43,49,66,3,2,.227
 ,Jonah Heim,3,127,406,51,92,20,1,16,48,41,87,2,0,.227
 ,Nicky Lopez,1,141,436,51,99,12,4,0,20,29,63,13,3,.227
249,Marcell Ozuna,10,124,470,56,106,19,0,23,56,31,122,2,1,.226
 ,Luke Voit,0,135,500,55,113,22,0,22,69,55,179,1,1,.226
251,Keston Hiura,4,80,234,34,53,8,1,14,32,23,111,5,2,.226
 ,Cal Mitchell,0,69,212,21,48,11,0,5,17,18,52,3,1,.226
 ,Nolan Gorman,0,89,283,44,64,13,0,14,35,28,103,1,0,.226
254,Avisail Garcia,11,98,357,31,80,9,0,8,35,17,109,4,0,.224
 ,Anthony Rizzo,12,130,465,77,104,21,1,32,75,58,101,6,5,.224
 ,Byron Buxton,8,92,340,61,76,13,3,28,51,34,116,6,0,.224
 ,Adam Engel,6,119,245,32,55,13,1,2,17,11,76,12,4,.224
 ,Victor Robles,3,132,366,42,82,10,2,6,33,17,104,15,4,.224
 ,Dylan Moore,4,104,205,41,46,11,2,6,24,34,75,21,8,.224
 ,Jo Adell,3,88,268,22,60,12,2,8,27,11,107,4,2,.224
261,Albert Almora Jr.,7,64,215,26,48,10,1,5,29,17,46,3,2,.223
 ,Jacob Stallings,7,114,346,25,77,12,0,4,34,29,83,0,1,.223
263,Josh Donaldson,12,132,478,59,106,28,0,15,62,54,148,2,2,.222
 ,Enrique Hernandez,9,93,361,48,80,24,0,6,45,34,71,0,2,.222
 ,Brian Anderson,0,98,338,43,75,16,1,8,28,37,101,1,0,.222
266,Tucker Barnhart,9,94,281,16,62,10,0,1,16,25,74,0,0,.221
 ,Chris Taylor,9,118,402,45,89,25,3,10,43,44,160,10,1,.221
 ,Franmil Reyes,5,118,438,43,97,17,2,14,47,30,157,2,1,.221
 ,Jorge Mateo,3,150,494,63,109,25,7,13,50,27,147,35,9,.221
 ,Myles Straw,2,152,535,72,118,22,3,0,32,54,87,21,1,.221
 ,Brandon Lowe,2,65,235,31,52,10,2,8,25,27,61,1,0,.221
 ,Jarren Duran,2,58,204,23,45,14,3,3,17,14,63,7,1,.221
273,Sergio Alcantara,0,93,205,26,45,8,1,6,29,12,57,1,2,.220
 ,Vimael Machin,3,73,223,26,49,12,0,1,13,25,47,1,1,.220
 ,Pavin Smith,3,75,245,24,54,9,0,9,33,28,67,1,0,.220
276,Jesse Winker,5,136,456,51,100,15,0,14,53,84,103,0,0,.219
 ,Franchy Cordero,6,84,242,36,53,17,1,8,29,28,92,4,1,.219
 ,Rowdy Tellez,5,153,529,67,116,23,0,35,89,62,121,2,1,.219
279,Kyle Schwarber,8,155,577,100,126,21,3,46,94,86,200,10,1,.218
280,Jeimer Candelario,7,124,429,49,93,19,2,13,50,28,109,0,1,.217
 ,MJ Melendez,1,129,460,57,100,21,3,18,62,66,131,2,3,.217
282,Aaron Hicks,10,130,384,54,83,9,2,8,40,62,109,10,3,.216
283,Jared Walsh,0,118,423,41,91,18,2,15,44,27,138,2,1,.215
 ,Andrew Knizner,4,97,260,28,56,10,0,4,25,26,62,0,1,.215
 ,Bobby Dalbec,3,117,317,40,68,9,2,12,39,29,118,3,0,.215
 ,Joey Bart,3,97,261,34,56,6,0,11,25,26,112,2,1,.215
287,Yadier Molina,19,78,262,19,56,8,0,5,24,5,40,2,0,.214
 ,Mike Moustakas,12,78,252,30,54,12,0,7,25,24,75,2,0,.214
 ,Mike Yastrzemski,4,148,485,73,104,31,2,17,57,61,141,5,1,.214
 ,Mauricio Dubon,1,104,243,31,52,9,0,5,24,13,30,2,3,.214
 ,Sheldon Neuse,3,89,271,25,58,4,2,4,26,20,80,6,1,.214
 ,Jesus Sanchez,3,98,313,38,67,14,3,13,36,26,92,1,0,.214
293,Brandon Belt,12,78,254,25,54,9,1,8,23,37,81,1,0,.213
 ,Adam Duvall,9,86,287,39,61,16,1,12,36,21,101,0,2,.213
 ,Jose Siri,2,104,301,53,64,13,2,7,24,20,108,14,2,.213
296,Eddie Rosario,8,80,250,27,53,12,1,5,24,17,68,3,0,.212
 ,Brad Miller,10,81,222,20,47,3,0,7,32,18,70,4,2,.212
 ,Yoan Moncada,7,104,397,41,84,18,1,12,51,32,114,2,0,.212
299,Giancarlo Stanton,13,110,398,53,84,7,0,31,78,50,137,0,0,.211
 ,Carson Kelly,7,104,317,40,67,18,0,7,35,29,71,2,0,.211
301,Ramon Laureano,2,94,346,49,73,18,0,13,34,25,104,11,6,.211
 ,Kyle Isbel,2,106,256,32,54,10,4,5,28,16,75,9,6,.211
 ,Cal Raleigh,2,119,370,46,78,20,1,27,63,38,122,1,0,.211
304,Leury Garcia,10,97,300,38,63,8,0,3,20,7,65,2,0,.210
 ,Didi Gregorius,11,63,214,17,45,9,4,1,19,13,36,1,0,.210
 ,Cody Bellinger,6,144,504,70,106,27,3,19,68,38,150,14,3,.210
307,Robbie Grossman,10,129,411,40,86,19,1,7,45,56,129,6,2,.209
308,Jonathan Villar,10,59,202,25,42,6,2,3,18,15,59,7,0,.208
 ,Ryan Jeffers,0,67,212,25,44,10,1,7,27,23,62,0,0,.208
310,Rougned Odor,0,135,426,49,88,19,3,13,53,32,109,6,1,.207
 ,Jorge Soler,9,72,270,32,56,13,0,13,34,31,90,0,2,.207
 ,Patrick Wisdom,5,134,469,67,97,28,0,25,66,53,183,8,4,.207
 ,LaMonte Wade Jr.,4,77,217,29,45,7,1,8,26,26,51,1,0,.207
 ,Nick Allen,1,100,299,31,62,13,0,4,19,19,64,3,2,.207
315,Omar Narvaez,7,84,262,21,54,12,1,4,23,29,57,0,0,.206
 ,Diego Castillo,1,96,262,28,54,13,0,11,29,14,75,1,1,.206
317,Joey Votto,16,91,322,31,66,18,1,11,41,44,97,0,0,.205
 ,Gary Sanchez,8,128,419,42,86,24,0,16,61,40,136,2,0,.205
 ,Isaac Paredes,3,111,331,48,68,16,0,20,45,44,67,0,1,.205
320,Darin Ruf,8,118,334,52,68,12,0,11,45,45,105,2,0,.204
 ,Akil Baddoo,1,73,201,30,41,3,2,2,9,24,64,9,6,.204
322,Jackie Bradley Jr.,10,131,344,30,70,23,1,4,38,24,77,2,3,.203
 ,Spencer Torkelson,1,110,360,38,73,16,1,8,28,37,99,0,1,.203
324,Carlos Santana,0,131,431,52,87,18,0,19,60,71,88,0,0,.202
